age,sex,citizen,hispan,n
54,male,born abroad of american parents,other,13
54,male,naturalized citizen,not hispanic,1349
54,male,naturalized citizen,mexican,422
54,male,naturalized citizen,puerto rican,5
54,male,naturalized citizen,cuban,73
54,male,naturalized citizen,other,268
54,female,born abroad of american parents,not hispanic,201
54,female,born abroad of american parents,mexican,10
54,female,born abroad of american parents,puerto rican,3
54,female,born abroad of american parents,cuban,2
54,female,born abroad of american parents,other,15
54,female,naturalized citizen,not hispanic,1628
54,female,naturalized citizen,mexican,364
54,female,naturalized citizen,puerto rican,6
54,female,naturalized citizen,cuban,78
54,female,naturalized citizen,other,317
55,male,born abroad of american parents,not hispanic,211
55,male,born abroad of american parents,mexican,20
55,male,born abroad of american parents,puerto rican,3
55,male,born abroad of american parents,other,10
55,male,naturalized citizen,not hispanic,1418
55,male,naturalized citizen,mexican,423
55,male,naturalized citizen,puerto rican,5
55,male,naturalized citizen,cuban,84
55,male,naturalized citizen,other,269
55,female,born abroad of american parents,not hispanic,219
55,female,born abroad of american parents,mexican,14
55,female,born abroad of american parents,puerto rican,1
55,female,born abroad of american parents,other,9
55,female,naturalized citizen,not hispanic,1645
55,female,naturalized citizen,mexican,373
55,female,naturalized citizen,puerto rican,11
55,female,naturalized citizen,cuban,75
55,female,naturalized citizen,other,378
56,male,born abroad of american parents,not hispanic,202
56,male,born abroad of american parents,mexican,17
56,male,born abroad of american parents,puerto rican,4
56,male,born abroad of american parents,cuban,1
56,male,born abroad of american parents,other,7
56,male,naturalized citizen,not hispanic,1424
56,male,naturalized citizen,mexican,422
56,male,naturalized citizen,puerto rican,4
56,male,naturalized citizen,cuban,84
56,male,naturalized citizen,other,305
56,female,born abroad of american parents,not hispanic,216
56,female,born abroad of american parents,mexican,19
56,female,born abroad of american parents,puerto rican,1
56,female,born abroad of american parents,cuban,4
56,female,born abroad of american parents,other,10
56,female,naturalized citizen,not hispanic,1576
56,female,naturalized citizen,mexican,382
